"filename", "language", "JSON", "Docker", "Markdown", "YAML", "Properties", "TypeScript", "JSON with Comments", "comment", "blank", "total"
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\.env", "Properties", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\Dockerfile", "Docker", 0, 7, 0, 0, 0, 0, 0, 7, 6, 20
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\docker-compose.yml", "YAML", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\package-lock.json", "JSON", 3307, 0, 0, 0, 0, 0, 0, 0, 1, 3308
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\package.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Controllers\afectaciones-mazorca.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 50, 0, 0, 6, 56
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Controllers\analisis-suelo.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 56, 0, 0, 7, 63
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Controllers\asignacionTP.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 42, 0, 0, 8, 50
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Controllers\auth.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Controllers\cultivo.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 8, 37
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Controllers\detalle-analisis-suelo.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 54, 0, 0, 6, 60
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Controllers\detalle-estimacion-cosecha.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 58, 0, 0, 6, 64
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Controllers\estimacion-cosecha.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 53, 0, 0, 7, 60
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Controllers\index.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Controllers\load-data.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 4, 31
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Controllers\mazorca.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 7, 37
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Controllers\parcela.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Controllers\productor.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 34, 0, 0, 7, 41
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Controllers\propiedades-suelo.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 45, 0, 0, 5, 50
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Controllers\tipo-parcela.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 34, 0, 0, 6, 40
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Controllers\user.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 6, 32
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\afectaciones_mazorca_dto\create-afectaciones-mazorca.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\afectaciones_mazorca_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\afectaciones_mazorca_dto\update-afectaciones-mazorca.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\analisis_suelo_dto\create-analisis-suelo.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\analisis_suelo_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\analisis_suelo_dto\update-analisis-suelo.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\asignacionTP_dto\create-asignacion-TP.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\asignacionTP_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\asignacionTP_dto\update-asignacionTP.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\cultivo_dto\create-cultivo.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\cultivo_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\cultivo_dto\update-cultivo.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\detalle_analisis_suelo_dto\create_detalle_analisis_suelo.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\detalle_analisis_suelo_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\detalle_analisis_suelo_dto\update_detalle_analisis_suelo.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\detalle_estimacion_cosecha_dto\create-detalle-estimacion-cosecha.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 4, 17
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\detalle_estimacion_cosecha_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\detalle_estimacion_cosecha_dto\update-detalle-estimacion-cosecha.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 4, 7
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\estimacion_cosecha_dto\create-estimacion-cosecha.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\estimacion_cosecha_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\estimacion_cosecha_dto\update-estimacion-cosecha.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 4, 7
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\load_bitacoras_dto\crate-bitacora-suelo.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 90, 0, 0, 25, 115
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\load_bitacoras_dto\create-bitacora-estimacionCosecha.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 49, 0, 0, 11, 60
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\load_bitacoras_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\mazorca_dto\create-mazorca.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\mazorca_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\mazorca_dto\update-mazorca.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\parcelas_dto\create-parcela.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\parcelas_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\parcelas_dto\update-parcela.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\productor_dto\create-productor.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 1, 6, 38
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\productor_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\productor_dto\update-productor.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\propiedades_suelo_dto\create-propiedades-suelo.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\propiedades_suelo_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\propiedades_suelo_dto\update-propiedades-suelo.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\tipo_parcela_dto\create-tipo-parcela.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\tipo_parcela_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\tipo_parcela_dto\update-tipo-parcela.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\user_dto\create-user.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 43, 0, 0, 7, 50
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\user_dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\user_dto\login-user.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Dtos\user_dto\update-user.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Middlewares\autorization.jwt.ts", "TypeScript", 0, 0, 0, 0, 0, 54, 0, 6, 12, 72
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Middlewares\autorized-role.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 2, 5, 23
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Middlewares\error.handler.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Middlewares\index.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Middlewares\validate-dto.middleware.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 16, 5, 46
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\afectaciones-mazorca.route.ts", "TypeScript", 0, 0, 0, 0, 0, 89, 0, 0, 5, 94
"c:\Users\INNOVACIÓN\Documents\JhonM\copesiuna\Backend-copesiuna\src\Routes\analisis-suelo.route.ts", "TypeScript", 0, 0, 0, 0, 0, 109, 0, 0, 6, 115
